"Lemming, W. Fortschr.-Ber. VDI, 1989, Z. Reihe 19 No. 32 Experimental Measurements of Acoustical and Thermal Virial Coefficients of Working Fluids in Energy Technology",,,,
No.,Mole fraction CO2,Temperature (K),Pressure (N/sqm),Density (kg/cum)
1,0.1,288.6943906,48784000,334.6914437
2,0.1,288.6953903,14070000,144.8828152
3,0.1,288.69639,62575000,363.4455035
4,0.1,288.6973897,55680000,350.2496951
5,0.1,288.6993891,28098000,260.8239706
6,0.1,288.6993891,41886000,316.0064854
7,0.1,288.6993891,69471000,374.8913244
8,0.1,288.7043876,21203000,214.9147577
9,0.1,288.7043876,34793000,290.713861