,yco,t_c,p_bar,z_mix,rho
0,0,30,5.0,0.9895278571760975,0.20047038375457923
1,0,30,10.0,0.9792379561066687,0.40515388119275497
2,0,30,15.0,0.9691417954219665,0.6140619366567538
3,0,30,20.0,0.9592513263080422,0.8271910554554137
4,0,30,25.0,0.9495789120981095,1.0445210331473918
5,0,30,30.0,0.9401372750948356,1.2660131739416132
6,0,30,35.0,0.9309394294806294,1.4916085417310865
7,0,30,40.0,0.9219985994325504,1.7212262958839841
8,0,30,45.0,0.913328121932438,1.9547621719979364
9,0,30,50.0,0.9049413342586954,2.192087174650268
10,0,30,55.0,0.896851446762271,2.4330465538979404
11,0,30,60.0,0.8890714022527688,2.6774591389798035
12,0,30,65.0,0.8816137241238858,2.9251171004556897
13,0,30,70.0,0.874490356187764,3.1757862051240777
14,0,30,75.0,0.8677124980080368,3.429206616004649
15,0,30,80.0,0.8612904402520125,3.685094272373823
16,0,30,85.0,0.8552334051484435,3.9431428627388856
17,0,30,90.0,0.8495493974656633,4.203026377751289
18,0,30,95.0,0.8442450714545376,4.464402201982885
19,0,30,100.0,0.8393256188924338,4.7269146752772135
20,0,30,105.0,0.8347946827096485,4.990199028365907
21,0,30,110.0,0.8306542997046149,5.253885575935225
22,0,30,115.0,0.8269048746205614,5.517604035366442
23,0,30,120.0,0.8235451864552986,5.780987832405899
24,0,30,125.0,0.8205724264186125,6.043678256705775
25,0,30,130.0,0.8179822655549456,6.30532834029512
26,0,30,135.0,0.8157689488211035,6.565606349526439
27,0,30,140.0,0.8139254114362867,6.824198804149361
28,0,30,145.0,0.8124434126612915,7.08081296371167
29,0,30,150.0,0.8113136818369232,7.335178749166416
30,0,30,155.0,0.8105260715070983,7.587050094203224
31,0,30,160.0,0.8100697127304469,7.83620574462622
32,0,30,165.0,0.8099331681868616,8.082449543787147
33,0,30,170.0,0.81010457934386,8.325610256933349
34,0,30,175.0,0.8105718046924089,8.565540997163774
35,0,30,180.0,0.8113225468296883,8.80211832076805
36,0,30,185.0,0.8123444669050081,9.03524106064233
37,0,30,190.0,0.8136252856160905,9.264828964013452
38,0,30,195.0,0.8151528705209947,9.49082119572117
39,0,30,200.0,0.8169153099040669,9.713174761640058
40,0,45,5.0,0.9911203907666611,0.1907117628289531
41,0,45,10.0,0.9824241924073898,0.3847998010628164
42,0,45,15.0,0.973920104088207,0.582239701507522
43,0,45,20.0,0.9656169703402453,0.7829950081851946
44,0,45,25.0,0.9575237375700608,0.9870163499993679
45,0,45,30.0,0.9496494039670356,1.1942406288630203
46,0,45,35.0,0.9420029628271537,1.40459029377235
47,0,45,40.0,0.9345933395107633,1.6179727280982104
48,0,45,45.0,0.9274293224803661,1.8342797783660667
49,0,45,50.0,0.9205194891171952,2.0533874527752243
50,0,45,55.0,0.9138721272830836,2.275155816458203
51,0,45,60.0,0.9074951538646991,2.4994291078320674
52,0,45,65.0,0.9013960317954257,2.7260360962432966
53,0,45,70.0,0.8955816872786846,2.954790695446832
54,0,45,75.0,0.8900584291172678,3.185492840390714
55,0,45,80.0,0.8848318721683556,3.4179296265289434
56,0,45,85.0,0.8799068669782948,3.6518767018093845
57,0,45,90.0,0.8752874375935034,3.887099892046032
58,0,45,95.0,0.8709767293888416,4.123357031131945
59,0,45,100.0,0.8669769685040658,4.360399959066373
60,0,45,105.0,0.8632894341416977,4.597976643629262
61,0,45,110.0,0.8599144445724395,4.835833376239993
62,0,45,115.0,0.8568513572394317,5.073716989466471
63,0,45,120.0,0.8540985828773047,5.311377043021767
64,0,45,125.0,0.8516536130943967,5.54856792693135
65,0,45,130.0,0.8495130604343754,5.785050834717853
66,0,45,135.0,0.8476727095611835,6.020595565604996
67,0,45,140.0,0.8461275779172543,6.254982122429811
68,0,45,145.0,0.8448719840011931,6.488002080630423
69,0,45,150.0,0.8438996213023262,6.71945971277247
70,0,45,155.0,0.8432036359127624,6.9491728620463205
71,0,45,160.0,0.8427767059045641,7.176973566527985
72,0,45,165.0,0.8426111206969226,7.402708443371008
73,0,45,170.0,0.8426988588297077,7.626238848222931
74,0,45,175.0,0.8430316627884203,7.8474408298937615
75,0,45,180.0,0.8436011097742322,8.066204903617303
76,0,45,185.0,0.8443986775665765,8.282435668198124
77,0,45,190.0,0.8454158048714953,8.496051293064427
78,0,45,195.0,0.8466439457770124,8.706982900927695
79,0,45,200.0,0.848074618139943,8.915173870591675
80,0,60,5.0,0.9924597105222415,0.1818792339344713
81,0,60,10.0,0.985097513351698,0.36647704296085815
82,0,60,15.0,0.9779198112363247,0.5537503477889685
83,0,60,20.0,0.9709329879568485,0.7436468390695354
84,0,60,25.0,0.9641433727730949,0.9361046134737774
85,0,60,30.0,0.9575572020551184,1.1310518774640606
86,0,60,35.0,0.9511805784044065,1.328406731289535
87,0,60,40.0,0.9450194276708683,1.5280770454042325
88,0,60,45.0,0.9390794543731061,1.72996044070628
89,0,60,50.0,0.9333660961284158,1.9339443826956566
90,0,60,55.0,0.9278844777899398,2.139906397826655
91,0,60,60.0,0.9226393660665466,2.347714417998415
92,0,60,65.0,0.9176351254605367,2.5572272563239817
93,0,60,70.0,0.912875676394576,2.7682952141188073
94,0,60,75.0,0.908364456407842,2.980760815561355
95,0,60,80.0,0.9041043852791298,3.194459662838744
96,0,60,85.0,0.9000978348801283,3.409221400959242
97,0,60,90.0,0.8963466044752368,3.6248707779656537
98,0,60,95.0,0.8928519020674602,3.8412287831946688
99,0,60,100.0,0.889614332247013,4.058113843662583
100,0,60,105.0,0.8866338908362559,4.275343056757711
101,0,60,110.0,0.883909966448536,4.492733436290185
102,0,60,115.0,0.8814413488976346,4.710103148651173
103,0,60,120.0,0.8792262442172336,4.927272716377571
104,0,60,125.0,0.8772622958842772,5.144066167766312
105,0,60,130.0,0.875546611693547,5.36031211325001
106,0,60,135.0,0.8740757956091634,5.575844731909015
107,0,60,140.0,0.872845983826255,5.790504654602637
108,0,60,145.0,0.8718528842149948,6.004139733587095
109,0,60,150.0,0.8710918182899707,6.216605691979693
110,0,60,155.0,0.8705577648490795,6.427766649866212
111,0,60,160.0,0.8702454044549073,6.637495527089451
112,0,60,165.0,0.8701491639838634,6.84567432568455
113,0,60,170.0,0.8702632605393791,7.05219429745548
114,0,60,175.0,0.8705817441101967,7.256956004262068
115,0,60,180.0,0.8710985384480417,7.459869280184367
116,0,60,185.0,0.8718074797360459,7.660853105854027
117,0,60,190.0,0.8727023527159647,7.85983540591616
118,0,60,195.0,0.873776924034999,8.056752780852687
119,0,60,200.0,0.8750249726591486,8.251550184313482
120,1,30,5.0,0.9736771069442242,0.20373389478828752
121,1,30,10.0,0.9466451786496023,0.4191032368577987
122,1,30,15.0,0.9188136756310453,0.6476972465424938
123,1,30,20.0,0.8900714815128299,0.8914835870340346
124,1,30,25.0,0.8602797293396836,1.1529449230205646
125,1,30,30.0,0.8292610605696192,1.4352852583793894
126,1,30,35.0,0.7967828792919506,1.7427548218424669
127,1,30,40.0,0.7625299149483438,2.0811881645574735
128,1,30,45.0,0.7260563615052626,2.458954095070632
129,1,30,50.0,0.6866952830645577,2.8887780964310106
130,1,30,55.0,0.6433668675749021,3.391659458822355
131,1,30,60.0,0.5941003320536239,4.006818752211038
132,1,30,65.0,0.5344695156421602,4.825014907225852
133,1,30,70.0,0.4481598351108085,6.1968837725238695
134,1,30,75.0,0.2267689086055618,13.121575868827467
135,1,30,80.0,0.222392153095744,14.271800619046934
136,1,30,85.0,0.22478901417059152,15.002101014277002
137,1,30,90.0,0.22948155210532165,15.55976283928966
138,1,30,95.0,0.23529158271641681,16.01863318909054
139,1,30,100.0,0.24173648800805467,16.412171029582343
140,1,30,105.0,0.24857434719558977,16.75873500842336
141,1,30,110.0,0.25566845870178906,17.069616901383203
142,1,30,115.0,0.262935145540334,17.352315772372478
143,1,30,120.0,0.2703201733432702,17.612095477198523
144,1,30,125.0,0.2777868547950634,17.852809252825022
145,1,30,130.0,0.2853095406073583,18.077372210837975
146,1,30,135.0,0.2928698272458976,18.288049132590768
147,1,30,140.0,0.3004542342486292,18.486638516779784
148,1,30,145.0,0.308052722409967,18.674595061679913
149,1,30,150.0,0.3156577157899752,18.85311392761197
150,1,30,155.0,0.3232634374739397,19.02319035903295
151,1,30,160.0,0.33086544722395844,19.185662902265065
152,1,30,165.0,0.33846031275800575,19.341245395558232
153,1,30,170.0,0.3460453716681438,19.490551087161993
154,1,30,175.0,0.3536185561553227,19.634111116013468
155,1,30,180.0,0.3611782621342784,19.77238887883787
156,1,30,185.0,0.36872325021402713,19.90579134487818
157,1,30,190.0,0.3762525699277075,20.03467807137644
158,1,30,195.0,0.3837655011530339,20.159368463421476
159,1,30,200.0,0.39126150840145285,20.280147676617414
160,1,45,5.0,0.9774033892303409,0.19338823558579415
161,1,45,10.0,0.9543723341182967,0.3961102184996942
162,1,45,15.0,0.9308659801317095,0.609169271194398
163,1,45,20.0,0.9068369827725151,0.8337477208789447
164,1,45,25.0,0.8822300071687826,1.0712530483145821
165,1,45,30.0,0.856979762594683,1.3233800270373168
166,1,45,35.0,0.8310083886402413,1.5921959830716246
167,1,45,40.0,0.8042219217676991,1.880260279236
168,1,45,45.0,0.7765054339610644,2.1907958111916797
169,1,45,50.0,0.7477162199939873,2.5279419095703286
170,1,45,55.0,0.7176740740029431,2.8971389119437694
171,1,45,60.0,0.6861471947587312,3.30573355121497
172,1,45,65.0,0.6528316316644844,3.763969146868286
173,1,45,70.0,0.6173220076443928,4.286671143770405
174,1,45,75.0,0.5790749081909661,4.8962141397904455
175,1,45,80.0,0.5373915914494365,5.627726816908803
176,1,45,85.0,0.49158641387304436,6.536615530041853
177,1,45,90.0,0.4421723843892505,7.694577554585218
178,1,45,95.0,0.3950304456450953,9.0913195695917
179,1,45,100.0,0.3614572177297515,10.45868266712289
180,1,45,105.0,0.3432541928808345,11.563980097552587
181,1,45,110.0,0.3346548585016664,12.425945316893023
182,1,45,115.0,0.33138367385884404,13.118996594035389
183,1,45,120.0,0.33121274243125226,13.696452534622939
184,1,45,125.0,0.3329747231437979,14.191641569231196
185,1,45,130.0,0.33601543198606454,14.625745640079463
186,1,45,135.0,0.33994269511940217,15.0128084219485
187,1,45,140.0,0.3445075859713885,15.362543783308181
188,1,45,145.0,0.349544521705346,15.681925619440362
189,1,45,150.0,0.35493904730852066,15.976121956612907
190,1,45,155.0,0.3606094988524941,16.24906676754122
191,1,45,160.0,0.3664960452207716,16.503823764643926
192,1,45,165.0,0.3725538605540757,16.742825985978573
193,1,45,170.0,0.3787487154243061,16.968038472052918
194,1,45,175.0,0.38505404056720094,17.181071731422318
195,1,45,180.0,0.39144891808772136,17.38326278074685
196,1,45,185.0,0.397916674454771,17.575734253508074
197,1,45,190.0,0.4044438743347953,17.759438324957284
198,1,45,195.0,0.4110195876921706,17.935189902860248
199,1,45,200.0,0.41763484708627635,18.103692085807467
200,1,60,5.0,0.9805258350273646,0.18409286671735153
201,1,60,10.0,0.9607998242814415,0.3757448894115062
202,1,60,15.0,0.940806089825689,0.5755951640174543
203,1,60,20.0,0.9205273337214712,0.7843669829155975
204,1,60,25.0,0.8999447165101868,1.0028827801811377
205,1,60,30.0,0.8790377464759696,1.2320823258222642
206,1,60,35.0,0.8577841973060976,1.4730449534889152
207,1,60,40.0,0.8361600843587501,1.7270167781237111
208,1,60,45.0,0.814139750811671,1.9954440317228923
209,1,60,50.0,0.7916961503743812,2.280013762543281
210,1,60,55.0,0.7688014730938795,2.582703077396775
211,1,60,60.0,0.7454283623828704,2.9058375715717535
212,1,60,65.0,0.7215521440791033,3.2521579672982095
213,1,60,70.0,0.697154780096068,3.62488996446433
214,1,60,75.0,0.6722317422251349,4.027803222958173
215,1,60,80.0,0.6468037617640577,4.465226024494481
216,1,60,85.0,0.620936467332491,4.9419432793391715
217,1,60,90.0,0.5947719215639914,5.462834568496772
218,1,60,95.0,0.5685753903639914,6.03200293835447
219,1,60,100.0,0.5427937008684282,6.651065094226915
220,1,60,105.0,0.5181001698499352,7.31646941974716
221,1,60,110.0,0.4953653565896543,8.01665237204521
222,1,60,115.0,0.4754857166275162,8.731449815655365
223,1,60,120.0,0.4591029941918626,9.436199588025872
224,1,60,125.0,0.4464012229930115,10.109056750021399
225,1,60,130.0,0.4371335921469271,10.736313092127837
226,1,60,135.0,0.43081141340446055,11.312863978515184
227,1,60,140.0,0.4268911040952264,11.839597226579135
228,1,60,145.0,0.42488039189148963,12.320470993386438
229,1,60,150.0,0.42437429408782584,12.760514553451413
230,1,60,155.0,0.42505438526618383,13.164767525394984
231,1,60,160.0,0.4266749611923253,13.537822710285388
232,1,60,165.0,0.4290473004704282,13.883685516419593
233,1,60,170.0,0.43202601412508285,14.205777899022355
234,1,60,175.0,0.43549831682683104,14.506998468225072
235,1,60,180.0,0.43937594040798134,14.789797595535354
236,1,60,185.0,0.443589140932744,15.056250080421338
237,1,60,190.0,0.44808227650252885,15.30811908974168
238,1,60,195.0,0.4528105364779325,15.546910010798667
239,1,60,200.0,0.45773750791680595,15.773914851952208
