exp,yco,p_bar,t_c,s_box,n_moves,n_equil,n_prod
1,0,5,45,34,1000,0,1000000
2,0,5,45,34,1000,0,1000000
3,0,5,45,34,1000,0,1000000
4,0,10,45,34,1000,0,1000000
5,0,10,45,34,1000,0,1000000
6,0,10,45,34,1000,0,1000000
7,0,15,45,34,1000,0,1000000
8,0,15,45,34,1000,0,1000000
9,0,15,45,34,1000,0,1000000
10,0,20,45,34,1000,0,1000000
11,0,20,45,34,1000,0,1000000
12,0,20,45,34,1000,0,1000000
13,0,25,45,34,1000,0,1000000
14,0,25,45,34,1000,0,1000000
15,0,25,45,34,1000,0,1000000
16,0,30,45,34,1000,0,1000000
17,0,30,45,34,1000,0,1000000
18,0,30,45,34,1000,0,1000000
19,0,35,45,34,1000,0,1000000
20,0,35,45,34,1000,0,1000000
21,0,35,45,34,1000,0,1000000
22,0,40,45,34,1000,0,1000000
23,0,40,45,34,1000,0,1000000
24,0,40,45,34,1000,0,1000000
25,0,45,45,34,1000,0,1000000
26,0,45,45,34,1000,0,1000000
27,0,45,45,34,1000,0,1000000
28,0,50,45,34,1000,0,1000000
29,0,50,45,34,1000,0,1000000
30,0,50,45,34,1000,0,1000000
31,0,55,45,34,1000,0,1000000
32,0,55,45,34,1000,0,1000000
33,0,55,45,34,1000,0,1000000
34,0,60,45,34,1000,0,1000000
35,0,60,45,34,1000,0,1000000
36,0,60,45,34,1000,0,1000000
37,0,65,45,34,1000,0,1000000
38,0,65,45,34,1000,0,1000000
39,0,65,45,34,1000,0,1000000
40,0,70,45,34,1000,0,1000000
41,0,70,45,34,1000,0,1000000
42,0,70,45,34,1000,0,1000000
43,0,75,45,34,1000,0,1000000
44,0,75,45,34,1000,0,1000000
45,0,75,45,34,1000,0,1000000
46,0,80,45,34,1000,0,1000000
47,0,80,45,34,1000,0,1000000
48,0,80,45,34,1000,0,1000000
49,0,85,45,34,1000,0,1000000
50,0,85,45,34,1000,0,1000000
51,0,85,45,34,1000,0,1000000
52,0,90,45,34,1000,0,1000000
53,0,90,45,34,1000,0,1000000
54,0,90,45,34,1000,0,1000000
55,0,95,45,34,1000,0,1000000
56,0,95,45,34,1000,0,1000000
57,0,95,45,34,1000,0,1000000
58,0,100,45,34,1000,0,1000000
59,0,100,45,34,1000,0,1000000
60,0,100,45,34,1000,0,1000000
61,0,105,45,34,1000,0,1000000
62,0,105,45,34,1000,0,1000000
63,0,105,45,34,1000,0,1000000
64,0,110,45,34,1000,0,1000000
65,0,110,45,34,1000,0,1000000
66,0,110,45,34,1000,0,1000000
67,0,115,45,34,1000,0,1000000
68,0,115,45,34,1000,0,1000000
69,0,115,45,34,1000,0,1000000
70,0,120,45,34,1000,0,1000000
71,0,120,45,34,1000,0,1000000
72,0,120,45,34,1000,0,1000000
73,0,125,45,34,1000,0,1000000
74,0,125,45,34,1000,0,1000000
75,0,125,45,34,1000,0,1000000
76,0,130,45,34,1000,0,1000000
77,0,130,45,34,1000,0,1000000
78,0,130,45,34,1000,0,1000000
79,0,135,45,34,1000,0,1000000
80,0,135,45,34,1000,0,1000000
81,0,135,45,34,1000,0,1000000
82,0,140,45,34,1000,0,1000000
83,0,140,45,34,1000,0,1000000
84,0,140,45,34,1000,0,1000000
85,0,145,45,34,1000,0,1000000
86,0,145,45,34,1000,0,1000000
87,0,145,45,34,1000,0,1000000
88,0,150,45,34,1000,0,1000000
89,0,150,45,34,1000,0,1000000
90,0,150,45,34,1000,0,1000000
91,0,155,45,34,1000,0,1000000
92,0,155,45,34,1000,0,1000000
93,0,155,45,34,1000,0,1000000
94,0,160,45,34,1000,0,1000000
95,0,160,45,34,1000,0,1000000
96,0,160,45,34,1000,0,1000000
97,0,165,45,34,1000,0,1000000
98,0,165,45,34,1000,0,1000000
99,0,165,45,34,1000,0,1000000
100,0,170,45,34,1000,0,1000000
101,0,170,45,34,1000,0,1000000
102,0,170,45,34,1000,0,1000000
103,0,175,45,34,1000,0,1000000
104,0,175,45,34,1000,0,1000000
105,0,175,45,34,1000,0,1000000
106,0,180,45,34,1000,0,1000000
107,0,180,45,34,1000,0,1000000
108,0,180,45,34,1000,0,1000000
109,0,185,45,34,1000,0,1000000
110,0,185,45,34,1000,0,1000000
111,0,185,45,34,1000,0,1000000
112,0,190,45,34,1000,0,1000000
113,0,190,45,34,1000,0,1000000
114,0,190,45,34,1000,0,1000000
115,0,195,45,34,1000,0,1000000
116,0,195,45,34,1000,0,1000000
117,0,195,45,34,1000,0,1000000
118,0,200,45,34,1000,0,1000000
119,0,200,45,34,1000,0,1000000
120,0,200,45,34,1000,0,1000000